Label;Repo
Semantic Web;https://github.com/sindresorhus/awesome
Semantic Web;https://github.com/semantalytics/awesome-semantic-web/issues/81
Semantic Web;https://github.com/semantalytics/awesome-semantic-web/issues/74
Semantic Web;https://json-ld.github.io/rdf-dataset-canonicalization/spec/
Semantic Web;https://github.com/rollxx/manchester-syntax-owl2
Semantic Web;https://w3c.github.io/data-shapes/data-shapes-test-suite/#test-cases-format-and-process
Semantic Web;https://atomgraph.github.io/Linked-Data-Templates/
Semantic Web;https://gbv.github.io/aREF/aREF.html
Semantic Web;https://github.com/ontola/hextuples
Semantic Web;https://github.com/eBay/akutan
Semantic Web;https://github.com/Merck/Halyard
Semantic Web;https://github.com/zorino/docker-blazegraph
Semantic Web;https://github.com/blazegraph/blazegraph-samples
Semantic Web;https://github.com/lyrasis/docker-blazegraph
Semantic Web;https://github.com/vastix/blazegraph-service
Semantic Web;https://github.com/marklogic/semantic
Semantic Web;https://github.com/openlink/virtuoso-opensource
Semantic Web;https://github.com/thomsonreuters/CM-Well
Semantic Web;https://github.com/garlik/4store
Semantic Web;https://github.com/SemWebCentral/parliament
Semantic Web;https://github.com/castagna/hbase-rdf
Semantic Web;https://github.com/cumulusrdf/cumulusrdf
Semantic Web;https://github.com/aschaetzle/Sempala
Semantic Web;https://github.com/white-gecko/TriplePlace
Semantic Web;https://beautifulinteractions.github.io/node-quadstore/
Semantic Web;https://github.com/luposdate/luposdate
Semantic Web;https://github.com/wallix/triplestore
Semantic Web;https://github.com/levelgraph/levelgraph
Semantic Web;https://github.com/pkumod/gStore
Semantic Web;https://github.com/rdfostrich/ostrich
Semantic Web;https://github.com/AKSW/QuitStore
Semantic Web;https://github.com/njh/redstore
Semantic Web;https://github.com/mro/librdf.sqlite
Semantic Web;https://github.com/spy16/fabric
Semantic Web;https://github.com/kasei/kineo/
Semantic Web;https://github.com/oxigraph/oxigraph
Semantic Web;https://github.com/uzh/triplerush
Semantic Web;https://github.com/Wimmics/corese
Semantic Web;https://github.com/gh-rdf3x/gh-rdf3x
Semantic Web;https://github.com/dice-group/qamel
Semantic Web;https://github.com/CMU-Q/DREAM
Semantic Web;https://github.com/UMKC-BigDataLab/RIQ
Semantic Web;https://github.com/hyrise/hyrise
Semantic Web;https://github.com/streamreasoning/CSPARQL-engine
Semantic Web;https://github.com/streamreasoning/TripleWave
Semantic Web;https://github.com/jpcik/morph-streams
Semantic Web;https://github.com/uzh/katts
Semantic Web;https://github.com/renxiangnan/strider
